date,description,counterparty,debit,credit,balance,account,category
2024-01-01,Water bill,Punjab Chemgicals,16218,0,-20592402,Bank,Utilities
2024-01-01,IBC small tank invoice,TCSd Courier,0,231155,1258052,Cash,Sales - IBC Tanks
2024-01-01,Reconditioned barrel sale,Metro Traders,0,141632,-19725677,Bank,Sales - Refurbished Drums
2024-01-01,Transport expense,Punjab Chemicals,39511,0,-19121775,Cash,Freight & Conveyance
2024-01-01,Purchase IBC small tanks,Al-Baraka Bank,672577,0,7344345,Cash,Purchases - IBC Tanks
2024-01-01,Paint and coating drums,M Ehtisham,20475,0,-18290749,Bank,Refurbishing Costs
2024-01-01,Purchase steel drums,Bank Al Falah,339757,0,-20640028,Cash,Purchases - Steel Drums
2024-01-01,Godown rent,HTG Petro,29126,0,-8501169,Cash,Rent
2024-01-01,Office rent,Pakistan Drums Co,51457,0,1997899,Cash,Rent
2024-01-01,Sundry hcharges,Local Supplier,9011,0,-19266490,Cash,Miscellaneous
2024-01-01,Online transfepr fee,TCS Courier,2705,0,-753521,Cash,Bank Charges
2024-01-01,Delivery charges,pakistan drums co,28725,0,5266207,Bank,Freight & Conveyance
2024-01-01,Steel drums disgpatched,Walk-in Customer,0,86688,-10234606,Cash,Sales - Steel Drums
2024-01-01,Cheqvue book charges,Pakistan Drums Co,4923,0,5062973,Bank,Bank Charges
2024-01-01,Customer payment plastic drums,HTG Petro,0,179998,418214,Cash,Sales - Plastic Drums
2024-01-02,Bank service charges,Pakistan Drums Co,2980,0,-2913476,Cash,Bank Charges
2024-01-02,customer pickup steel drums,M Ehtisham,0,528211,-18632302,Bank,Sales - Steel Drums
2024-01-02,Purchase wIBC small tanks,Bank Al Falah,679278,0,-18936112,Cash,Purchases - IBC Tanks
2024-01-02,Sold steel drums,Punjab Chemicals,0,525326,-17645144,Bank,Sales - Steel Drums
2024-01-02,Purchase IBC small tanks,Metro Traders,663308,0,-22995978,Cash,Purchases - IBC Tanks
2024-01-02,internet bill,Walk-in Customer,2878,0,-2581939,Cash,Utilities
2024-01-02,Sold plastic drums,regular client,0,58194,-2316432,Bank,Sales - Plastic Drums
2024-01-02,storage rent paid,Walk-in Customer,68758,0,-16743511,Cash,Rent
2024-01-02,IBC tank sale,HTG Petro,0,329707,-12750025,Bank,Sales - IBC Tanks
2024-01-02,Customery IBC payment,Metro Traders,0,463789,-7505102,Cash,Sales - IBC Tanks
2024-01-02,Steel drum sale,Metro Traders,0,837904,8418674,Cash,Sales - Steel Drums
2024-01-02,IBC sumall tank invoice,Punjab Chemicals,0,686984,-11180931,Bank,Sales - IBC Tanks
2024-01-02,Reconditioned barrel sale,Regular Client,0,71115,-23253509,Bank,Sales - Refurbished Drums
2024-01-02,online transfer fee,Pakistan Drums Co,4516,0,-25672785,Cash,Bank Charges
2024-01-02,Water bill,Bank Al Falah,5111,0,-20171567,Bank,Utilities
2024-01-02,Plastic drums received,Punjab Chemicalfs,174869,0,-20798297,Bank,Purchases - Plastic Drums
2024-01-02,Phones bill,Rpegular Client,16842,0,-27068611,Bank,Utilities
2024-01-02,general expense,Walk-in Customer,810,0,1667217,Bank,Miscellaneous
2024-01-02,IBC tanks dispatched,Al-Barakda Bank,0,653550,-16848672,Cash,Sales - IBC Tanks
2024-01-03,Phone bill,Walk-in Customer,19565,0,-9468076,Bank,Utilities
2024-01-03,Shop rent,Meezan Bank,20653,0,-20746777,Bank,Rent
2024-01-03,Invoice steel drums,HTG Petro,0,808579,-26270495,Cash,Sales - Steel Drums
2024-01-03,Plastic drum procurement,HTG Petro,72408,0,-4770,Cash,Purchases - Plastic Drums
2024-01-03,Reconditioned barrel sale,Metro Traders,0,45271,1158338,Bank,Sales - Refurbished Drums
2024-01-03,Custaomer payment plastic drums,Pakistan Drums Co,0,73111,-25018988,Cash,Sales - Plastic Drums
2024-01-03,IBC tanks dispatched,Local Supplier,0,481525,-20989903,Cash,Sales - IBC Tanks
2024-01-04,General expense,Walk-in Customer,9651,0,-18445577,Cash,Miscellaneous
2024-01-04,Plastic drums received,Meezan Bank,118987,0,-10940043,Cash,Purchases - Plastic Drums
2024-01-04,Steel drums dispatched,Meezan Bank,0,343548,-4216627,Cash,Sales - Steel Drums
2024-01-04,Purchase plastic drums,Walk-in Customer,185729,0,-5734326,Bank,Purchases - Plastic Drums
2024-01-04,Internet bill,Pakistan Drums Co,19074,0,-8803085,Bank,Utilities
2024-01-04,Reconditioned barrel sale,Local Suipplier,0,29383,-21418658,Bank,Sales - Refurbished Drums
2024-01-04,Stationery purchase,Habib Bank,4940,0,-19078079,Bank,Office Supplies
2024-01-04,Purchase plastic drums,Punjab Chemiqcals,73807,0,-18659044,Bank,Purchases - Plastic Drums
2024-01-04,Phone bill,Meeszan Bank,16577,0,-20351140,Bank,Utilities
2024-01-04,soold plastic drums,Al-Baraka Bank,0,138274,-18281304,Bank,Sales - Plastic Drums
2024-01-04,Sold IBC tanks,Al-Baraka Bank,0,650833,-20334563,Cash,Sales - IBC Tanks
2024-01-04,reconditioned barrel sale,Regular Client,0,142009,-9607515,Cash,Sales - Refurbished Drums
2024-01-04,Steel drum sale,Bank Al Falah,0,722547,368643,Cash,Sales - Steel Drums
2024-01-04,General expense,Bank Al Falah,1513,0,-17912912,Cash,Miscellaneous
2024-01-05,Petty cash expense,Alp-Baraka Bank,8918,0,-22436578,Bank,Miscellaneous
2024-01-05,Bought IBC tanks HTG Petro,Al-Baraka Bank,90447,0,-18906866,Cash,Purchases - IBC Tanks
2024-01-05,ibc tank procurement,City Freight,531989,0,-18827479,Bank,Purchases - IBC Tanks
2024-01-05,Sundry charges,Punjab Chempicals,7380,0,4384419,Bank,Miscellaneous
