id,date,description,counterparty,account,debit,credit,category,source,created_at
1,2024-05-10,Purchase Steel Drums,HTG Petro,Bank,58806.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
2,2024-05-10,Paid Chq # 32307017 bank al baraka,HTG Petro,Bank,0.0,58800.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
3,2024-05-14,Purchase Steel Drums,HTG Petro,Bank,78409.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
4,2024-05-15,Purchase Steel Drums,HTG Petro,Bank,240126.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
5,2024-05-16,Purchase Plastic Drums,HTG Petro,Bank,39000.0,0.0,Purchases - Plastic Drums,htg_petro,2026-04-21 07:01:25
6,2024-05-16,Purchase Steel Drums,HTG Petro,Bank,49005.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
7,2024-05-17,Purchase Steel Drums,HTG Petro,Bank,137215.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
8,2024-05-18,Purchase Steel Drums,HTG Petro,Bank,808589.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
9,2024-05-24,Purchase Steel Drums,HTG Petro,Bank,808589.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
10,2024-05-30,Purchase Plastic Drums,HTG Petro,Bank,50700.0,0.0,Purchases - Plastic Drums,htg_petro,2026-04-21 07:01:25
11,2024-06-02,Purchase Steel Drums,HTG Petro,Bank,808589.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
12,2024-06-06,Purchase Steel Drums,HTG Petro,Bank,735081.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
13,2024-06-07,Purchase Steel Drums,HTG Petro,Bank,808589.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
14,2024-06-08,Purchase Steel Drums,HTG Petro,Bank,808589.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
15,2024-06-10,Paid Chq # 32307034 bank al baraka,HTG Petro,Bank,0.0,808590.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
16,2024-06-10,Purchase Plastic Drums,HTG Petro,Bank,93600.0,0.0,Purchases - Plastic Drums,htg_petro,2026-04-21 07:01:25
17,2024-06-12,Purchase Steel Drums,HTG Petro,Bank,735081.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
18,2024-06-12,Paid Chq # 32307035 bank al baraka,HTG Petro,Bank,0.0,808590.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
19,2024-06-13,Paid Chq # 32307036 bank al baraka,HTG Petro,Bank,0.0,137216.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
